F1 	 F2 	 numVert1 	 numEdgeIn1 	 numEdgeOut1 	 min,max,ave_silhouette1 	numVert2 	 numEdgeIn2 	 numEdgeOut2 	 min,max,ave_silhouette2 	 numEdgeBetween 	 ave_s1+s2 	 joined_silhouette 	 difference
MZ22523465	MZ22521375	3	0	0	0.0000	0.0000	0.0000	13	67	2	0.2132	1.0000	0.9394	0	0.7633	0.7510	-0.0123	
MZ22528405	MZ22515097	2	1	23	-0.3956	0.1019	-0.1468	15	68	50	-0.3683	1.0000	0.1680	19	0.1310	0.1445	0.0135	
MZ22530621	MZ22525617	2	1	36	0.0829	0.1448	0.1139	15	43	0	1.0000	1.0000	1.0000	0	0.8958	0.7730	-0.1227	
MZ22527715	MZ22524202	4	0	1	-1.0000	0.0000	-0.2500	12	66	13	0.8986	0.9770	0.9697	1	0.6648	0.7883	0.1234	
MZ22528012	MZ22510440	2	1	64	0.0817	0.1147	0.0982	14	84	254	-0.4315	-0.0263	-0.1087	28	-0.0829	0.2262	0.3091	
MZ22526808	MZ22526813	3	3	27	0.3764	0.3768	0.3766	14	43	27	-0.4047	1.0000	0.1109	27	0.1578	1.0000	0.8422	
MZ22530775	MZ22510771	2	0	0	0.0000	0.0000	0.0000	14	88	9	0.5630	1.0000	0.8071	0	0.7062	0.6803	-0.0260	
MZ22521610	MZ22508066	3	3	47	0.1264	0.2229	0.1857	16	92	67	-0.1788	1.0000	-0.0418	41	-0.0059	0.8858	0.8917	
MZ22515311	MZ22506271	4	1	0	0.0000	1.0000	0.5000	13	20	1	-1.0000	1.0000	0.7692	0	0.7059	0.7059	0.0000	
MZ22528606	MZ22524282	2	0	0	0.0000	0.0000	0.0000	15	45	0	0.0000	1.0000	0.8666	0	0.7647	0.7647	-0.0000	
MZ22527985	MZ22504918	2	1	65	0.0533	0.0958	0.0745	14	91	403	0.0289	0.1047	0.0868	28	0.0853	0.0944	0.0091	
MZ22523024	MZ22514750	4	1	0	0.0000	1.0000	0.5000	14	42	3	0.9106	1.0000	0.9833	0	0.8760	0.8720	-0.0040	
MZ22530469	MZ22514802	2	0	13	-1.0000	0.0000	-0.5000	14	89	13	0.4700	1.0000	0.5690	13	0.4354	0.9375	0.5021	
MZ22528701	MZ22509677	2	1	60	0.1280	0.1547	0.1413	14	89	108	-0.0009	0.6995	0.4123	0	0.3785	0.1687	-0.2098	
MZ22528979	MZ22514124	2	1	0	1.0000	1.0000	1.0000	15	21	0	0.0000	1.0000	0.8666	0	0.8824	0.8824	-0.0000	
MZ22529889	MZ22503048	2	1	6	0.8563	0.8644	0.8603	19	52	6	-0.9036	1.0000	0.6175	6	0.6407	0.9048	0.2641	
MZ22528963	MZ22521696	2	1	36	0.0681	0.1915	0.1298	14	32	0	1.0000	1.0000	1.0000	0	0.8912	0.7596	-0.1316	
MZ22506809	MZ22509191	3	2	54	-0.3586	-0.0675	-0.1936	16	112	40	-0.4936	0.5708	0.3005	39	0.2225	0.9320	0.7094	
MZ22528442	MZ22507303	2	1	0	1.0000	1.0000	1.0000	14	89	92	-0.3335	0.2948	0.0459	0	0.1652	0.0597	-0.1056	
MZ22528909	MZ22516877	2	1	32	-0.0027	0.0283	0.0128	16	120	32	-0.0443	0.0062	-0.0125	32	-0.0098	1.0000	1.0098	
MZ22528993	MZ22513478	2	0	10	-1.0000	0.0000	-0.5000	15	38	0	1.0000	1.0000	1.0000	0	0.8235	0.8235	0.0000	
MZ22530733	MZ22505306	2	1	0	1.0000	1.0000	1.0000	14	78	19	0.0000	1.0000	0.8320	0	0.8530	0.8400	-0.0130	
MZ22522919	MZ22506943	4	6	54	-0.1512	0.0868	-0.0064	13	78	181	-0.1337	0.1070	0.0187	52	0.0128	0.4943	0.4814	
MZ22530326	MZ22521243	2	0	0	0.0000	0.0000	0.0000	14	31	3	0.0000	1.0000	0.8483	0	0.7423	0.7315	-0.0108	
MZ22528532	MZ22523837	2	1	26	0.2636	0.2829	0.2732	16	92	26	-0.3066	1.0000	0.0286	26	0.0558	1.0000	0.9442	
MZ22527779	MZ22526291	4	2	9	-0.6244	1.0000	0.5544	12	39	9	0.0000	1.0000	0.6061	9	0.5932	0.9375	0.3443	
MZ22528880	MZ22502673	2	1	0	1.0000	1.0000	1.0000	14	83	35	0.8477	1.0000	0.8821	0	0.8969	0.8810	-0.0159	
MZ22530060	MZ22519951	2	1	45	0.0135	0.2571	0.1353	16	120	191	-0.1486	0.6089	0.0858	29	0.0914	0.6162	0.5249	
MZ22530161	MZ22515305	3	3	13	0.4181	0.9109	0.7389	14	23	5	0.0000	1.0000	0.6405	0	0.6579	0.4903	-0.1677	
MZ22518612	MZ22503849	3	3	45	0.6745	0.6746	0.6746	14	37	89	-0.5258	1.0000	0.0840	24	0.1883	0.2955	0.1072	
MZ22530094	MZ22523230	2	0	0	0.0000	0.0000	0.0000	16	109	11	0.4390	1.0000	0.8826	0	0.7846	0.7707	-0.0139	
MZ22530641	MZ22515923	2	0	0	0.0000	0.0000	0.0000	15	93	0	1.0000	1.0000	1.0000	0	0.8824	0.8824	0.0000	
MZ22527961	MZ22525525	2	1	64	0.0941	0.1205	0.1073	15	26	0	0.0000	1.0000	0.8000	0	0.7185	0.5965	-0.1220	
MZ22522486	MZ22516705	4	6	176	-0.1036	0.0320	-0.0229	12	66	238	0.1239	0.2559	0.1748	48	0.1254	0.3125	0.1871	
MZ22517038	MZ22509079	3	1	16	-1.0000	1.0000	0.3176	15	102	37	0.6003	0.7690	0.6944	15	0.6316	0.9302	0.2985	
MZ22526117	MZ22519193	3	1	47	-1.0000	0.7021	-0.1988	13	35	138	-0.7765	0.6799	0.0202	13	-0.0208	0.0813	0.1022	
MZ22526887	MZ22512079	2	1	1	0.9521	1.0000	0.9760	15	19	0	0.0000	1.0000	0.8000	0	0.8207	0.7785	-0.0422	
